eval,fitness,best_so_far,improved,file
4,0.002340013144551391,0.002340013144551391,True,samples_fe=4.json
5,0.002289275453060432,0.002289275453060432,True,samples_fe=5.json
6,0.0022925706377377735,0.002289275453060432,False,samples_fe=6.json
7,0.0022848905959393234,0.0022848905959393234,True,samples_fe=7.json
8,0.0022861750862736368,0.0022848905959393234,False,samples_fe=8.json
10,0.00236382795974251,0.0022848905959393234,False,samples_fe=10.json
11,0.0022853107507274225,0.0022848905959393234,False,samples_fe=11.json
12,0.0024546999647460004,0.0022848905959393234,False,samples_fe=12.json
13,0.7559206137808098,0.0022848905959393234,False,samples_fe=13.json
14,0.025038189197776898,0.0022848905959393234,False,samples_fe=14.json
16,0.0024546999647371693,0.0022848905959393234,False,samples_fe=16.json
17,0.0026500478469381433,0.0022848905959393234,False,samples_fe=17.json
18,0.0025077302767430353,0.0022848905959393234,False,samples_fe=18.json
19,0.0026139954843231476,0.0022848905959393234,False,samples_fe=19.json
20,0.0024480072194528646,0.0022848905959393234,False,samples_fe=20.json
21,0.0026935531845328126,0.0022848905959393234,False,samples_fe=21.json
22,0.002454681485946372,0.0022848905959393234,False,samples_fe=22.json
23,0.002723558869339865,0.0022848905959393234,False,samples_fe=23.json
24,0.0027471015726369106,0.0022848905959393234,False,samples_fe=24.json
25,0.002672229307351602,0.0022848905959393234,False,samples_fe=25.json
26,0.0026174336746026053,0.0022848905959393234,False,samples_fe=26.json
27,0.0026385573315495185,0.0022848905959393234,False,samples_fe=27.json
28,0.0024312105655976135,0.0022848905959393234,False,samples_fe=28.json
29,0.002522140902089325,0.0022848905959393234,False,samples_fe=29.json
32,0.002657445857788941,0.0022848905959393234,False,samples_fe=32.json
33,0.0024059481341875354,0.0022848905959393234,False,samples_fe=33.json
34,0.0026704731509590023,0.0022848905959393234,False,samples_fe=34.json
35,0.002342716611208295,0.0022848905959393234,False,samples_fe=35.json
36,0.002337340450624044,0.0022848905959393234,False,samples_fe=36.json
37,0.002307787767805631,0.0022848905959393234,False,samples_fe=37.json
38,0.002136092567764326,0.002136092567764326,True,samples_fe=38.json
39,0.002641865499247006,0.002136092567764326,False,samples_fe=39.json
40,0.0022531685982838862,0.002136092567764326,False,samples_fe=40.json
41,0.0024249734850877213,0.002136092567764326,False,samples_fe=41.json
42,0.002792070478073753,0.002136092567764326,False,samples_fe=42.json
44,0.002419110999933971,0.002136092567764326,False,samples_fe=44.json
46,0.0020910678811961376,0.0020910678811961376,True,samples_fe=46.json
47,0.0027441381171285535,0.0020910678811961376,False,samples_fe=47.json
48,0.0025127486547669065,0.0020910678811961376,False,samples_fe=48.json
50,0.0034817776910595613,0.0020910678811961376,False,samples_fe=50.json
51,0.002445801236248037,0.0020910678811961376,False,samples_fe=51.json
52,0.0022531694436364233,0.0020910678811961376,False,samples_fe=52.json
53,0.0027116658512371986,0.0020910678811961376,False,samples_fe=53.json
54,0.0022531685982838862,0.0020910678811961376,False,samples_fe=54.json
55,0.002137911272694556,0.0020910678811961376,False,samples_fe=55.json
56,0.0024120111928330897,0.0020910678811961376,False,samples_fe=56.json
57,0.002549458997533153,0.0020910678811961376,False,samples_fe=57.json
